Table_name,Table_description,Field_name,Field_description,Mapping
diagnosis_icd,"During routine hospital care, patients are billed by the hospital for diagnoses associated with their hospital stay. This table contains a record of all diagnoses a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies. Diagnoses are billed on hospital discharge, and are determined by trained persons who read signed clinical notes.",subject_id,Unique patient identifier,['Condition.subject']
diagnosis_icd,"During routine hospital care, patients are billed by the hospital for diagnoses associated with their hospital stay. This table contains a record of all diagnoses a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies. Diagnoses are billed on hospital discharge, and are determined by trained persons who read signed clinical notes.",hadm_id,Identifier for single patient’s admission to the hospital,['Condition.encounter']
d_icd_diagnoses,This table defines International Classification of Diseases (ICD) Version 9 and 10 codes for diagnoses. These codes are assigned at the end of the patient’s stay and are used by the hospital to bill for care provided.,icd_code,ICD code for the diagnoses,['Condition.code']
d_icd_diagnoses,This table defines International Classification of Diseases (ICD) Version 9 and 10 codes for diagnoses. These codes are assigned at the end of the patient’s stay and are used by the hospital to bill for care provided.,long_title,Meaning of ICD code,['Condition.code']
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",hadm_id,Identifier for single patient’s admission to the hospital,['Encounter.identifier']
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",admission_type,Classification for the urgency of the admission,"['Encounter.class', 'Encounter.priority']"
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",admission_location,Location of the patient prior to arriving at the hospital,['Encounter.hospitalization.admitSource']
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",discharge_location,Disposition of the patient after they are discharged from the hospital,['Encounter.hospitalization.dischargeDisposition']
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",subject_id,Unique patient identifier,['Encounter.subject']
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",admittime,Date and time the patient was admitted to the hospital,['Encounter.period']
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",dischtime,Date and time the patient was discharged from the hospital,['Encounter.period']
hcpcsevents,Billed events occurring during the hospitalization. Includes CPT codes.,hcpcs_cd,Five character code which uniquely represents the event,['Encounter.type']
hcpcsevents,Billed events occurring during the hospitalization. Includes CPT codes.,short_description,Short textual descriptions of the hcpcs_cd listed,['Encounter.type']
services,"The services table describes the service that a patient was admitted under. While a patient can be physicially located at a given ICU type (say MICU), they are not necessarily being cared for by the team which staffs the MICU. This can happen due to a number of reasons, including bed shortage. The services table should be used if interested in identifying the type of service a patient is receiving in the hospital. For example, if interested in identifying surgical patients, the recommended method is searching for patients admitted under a surgical service.

Each service is listed in the table as an abbreviation - this is exactly how the data is stored in the hospital database. For user convenience, we have provided a description of each service type.",curr_service,Current service that the patient resides under,['Encounter.serviceType']
transfers,Physical locations for patients throughout their hospital stay.,careunit,Type of unit or ward in which the patient is physically located,"['Location.name', 'Location.identifier', 'Encounter.location']"
transfers,Physical locations for patients throughout their hospital stay.,intime,Date and time the patient was transferred into the current care unit,['Encounter.location.period']
transfers,Physical locations for patients throughout their hospital stay.,outtime,Date and time the patient was transferred out of the current physical location,['Encounter.location.period']
icustays,Tracking information for ICU stays including admission and discharge times.,stay_id,Unique identifier to a patient ward stay,['Encounter.identifier']
icustays,Tracking information for ICU stays including admission and discharge times.,first_careunit,First ICU type in which the patient was cared for,['Encounter.location']
icustays,Tracking information for ICU stays including admission and discharge times.,intime,Date and time the patient was transferred into the ICU,['Encounter.period']
icustays,Tracking information for ICU stays including admission and discharge times.,outtime,Date and time the patient was transferred out of the ICU,['Encounter.period']
icustays,Tracking information for ICU stays including admission and discharge times.,subject_id,Unique patient identifier,['Encounter.subject']
icustays,Tracking information for ICU stays including admission and discharge times.,hadm_id,Identifier for single patient’s admission to the hospital,['Encounter.partOf']
emar,The EMAR table is used to record administrations of a given medicine to an individual patient. Records in this table are populated by bedside nursing staff scanning barcodes associated with the medicine and the patient.,subject_id,Unique patient identifier,['MedicationAdministration.subject']
emar,The EMAR table is used to record administrations of a given medicine to an individual patient. Records in this table are populated by bedside nursing staff scanning barcodes associated with the medicine and the patient.,hadm_id,Integer identifier which is unique for each patient hospitalization,['MedicationAdministration.context']
emar,The EMAR table is used to record administrations of a given medicine to an individual patient. Records in this table are populated by bedside nursing staff scanning barcodes associated with the medicine and the patient.,charttime,Time at which the medication was administered,['MedicationAdministration.effective[x]']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",pharmacy_id,Identifier which allows linking the eMAR order to pharmacy information provided in the pharmacy table,['MedicationAdministration.request']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",site,Location on the patient where the medication was administred,['MedicationAdministration.dosage.site']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",route,Route of administration for the medication,['MedicationAdministration.dosage.route']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",event_txt,Free-text descriptions or comments related to a medication administration event,['MedicationAdministration.dosage.route']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",infusion_rate,Rate at which the medication was infused,['MedicationAdministration.dosage.rate[x]']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",infusion_rate_unit,Unit of measurement for the frequency of infusion,['MedicationAdministration.dosage.rate[x]']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",product_code,Identifier for the medication given to the patient,['MedicationAdministration.medication[x]']
emar,The EMAR table is used to record administrations of a given medicine to an individual patient. Records in this table are populated by bedside nursing staff scanning barcodes associated with the medicine and the patient.,medication,Name of the medication givent to the patient,['MedicationAdministration.medication[x]']
poe,Provider order entry (POE) is the general interface through which care providers at the hospital enter orders. Most treatments and procedures must be ordered via POE.,order_type,Type of provider order,['MedicationAdministration.medication[x]']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,subject_id,Unique patient identifier,['MedicationAdministration.subject']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,stay_id,Unique identifier to a patient ICU stay,['MedicationAdministration.context']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,starttime,Start time of an input/output event,['MedicationAdministration.effective[x]']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,rate,Rate at which the drug or substance was administered to the patient either between the starttime and endtime,"['MedicationAdministration.dosage.rate[x]', 'MedicationAdministration.effective[x]']"
inputevents,Information documented regarding continuous infusions or intermittent administrations.,endtime,End time of an input/output event,['MedicationAdministration.effective[x]']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,ordercategorydescription,Describes the role of the substance in the solution,['MedicationAdministration.dosage.method']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,amount,Amount of medication given to the patient in standard units,['MedicationAdministration.dosage.dose']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,amountuom,Amount of medication given to the patient in standardized units,['MedicationAdministration.dosage.dose']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,rateuom,Rate of medication administration given to the patient in standardized unit,['MedicationAdministration.dosage.rate[x]']
d_items,Dimension table describing itemid. Defines concepts recorded in the events table in the ICU module.,itemid,Items identifier,"['Observation.code', 'MedicationAdministration.medication[x]']"
d_items,Dimension table describing itemid. Defines concepts recorded in the events table in the ICU module.,label,Describes the concept which is represented by the itemid,"['Observation.code', 'Procedure.code', 'MedicationAdministration.medication[x]']"
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",pharmacy_id,Unique identifier for the given pharmacy entry,"['MedicationDispense.identifier', 'MedicationDispense.authorizingPrescription']"
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",medication,Name of the medication provided,['MedicationDispense.medication[x]']
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",subject_id,Unique patient identifier,['MedicationDispense.subject']
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",hadm_id,Identifier for single patient’s admission to the hospital,['MedicationDispense.context']
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",fill_quantity,What proportion of the formulary to fill,['MedicationDispense.quantity']
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",route,Intended route of administration for the prescription,['MedicationDispense.dosageInstruction']
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",frequency,Frequency at which the medication should be administered to the patient,['MedicationDispense.dosageInstruction']
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",duration,Numeric duration of the given dose,['MedicationDispense.dosageInstruction']
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",one_hr_max,Maximum dose that may be given in a single hour,['MedicationDispense.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",pharmacy_id,Identifier which links administrations in emar to pharmacy information in the pharmacy table,['MedicationRequest.identifier']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",subject_id,Unique patient identifier,['MedicationRequest.subject']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",hadm_id,Identifier for single patient’s admission to the hospital,['MedicationRequest.encounter']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",drug_code,Identifier for the prescribed medication,['MedicationRequest.medication[x]']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",status,"State of a medication order (active, discontinued, completed)",['MedicationRequest.status']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",entertime,Timestamp when the prescription order was entered into the system,['MedicationRequest.authoredOn']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",prod_strength,Free-text description of the composition of the prescribed medication,['MedicationRequest.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",route,Prescribed route of administration,['MedicationRequest.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",dose_val_rx,Prescribed dose for the patient intended to be administered over the given time period,['MedicationRequest.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",dose_unit_rx,Unit of measurement for the dose,['MedicationRequest.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",frequency,Prescribed frequency of administration of the medication,['MedicationRequest.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",duration,Intended length of time for which a medication was prescribed,['MedicationRequest.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",one_hr_max,Prescribed maximum dosage per hour,['MedicationRequest.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",starttime,Prescribed start time for the medication,['MedicationRequest.dispenseRequest.validityPeriod']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",stoptime,Prescribed stop time for the medication,['MedicationRequest.dispenseRequest.validityPeriod']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",labevent_id,Integer which is unique for every row in the table,['Observation.identifier']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",status,"Current state of a lab test result (cmopleted, canceled, in progress)",['Observation.status']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",subject_id,Unique patient identifier,"['Observation.subject', 'Specimen.subject']"
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",hadm_id,Identifier for single patient’s admission to the hospital,['Observation.encounter']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",specimen_id,Uniquely denoted the specimen from which the lab measurement was made,"['Observation.specimen', 'Specimen.identifier']"
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",charttime,Time at which the laboratory measurement was charted,"['Observation.effective[x]', 'Specimen.collection.collected[x]']"
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",storetime,Time at which the measurement was made available in the laboratory system,['Observation.issued']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",valuenum,Result of laboratory test in standardized unit,['Observation.value[x]']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",valueuom,Unit of measurement for the laboratory concept,"['Observation.referenceRange.high', 'Observation.value[x]', 'Observation.referenceRange.low']"
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",value,Result of laboratory test in standard unit,['Observation.value[x]']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",comments,Deidentified free-text comments associated with the laboratory measurement,"['Observation.note', 'Observation.value[x]']"
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",flag,Brief string mainly used to indicate if the laboratory measurement is abnormal,['Observation.interpretation']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",ref_range_lower,Lower reference ranges indicating the normal range for the laboratory measurements,['Observation.referenceRange.low']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",ref_range_upper,Upper reference ranges indicating the normal range for the laboratory measurements,['Observation.referenceRange.high']
d_labitems,"Laboratory data contains information collected and recorded in the hospital laboratory database. This includes measurements made in wards within the hospital and clinics outside the hospital. Most concepts in this table have been mapped to LOINC codes, an openly available ontology which facilitates interoperability.",itemid,Unique identifier for a laboratory concept,['Observation.code']
d_labitems,"Laboratory data contains information collected and recorded in the hospital laboratory database. This includes measurements made in wards within the hospital and clinics outside the hospital. Most concepts in this table have been mapped to LOINC codes, an openly available ontology which facilitates interoperability.",label,Describes the concept which is represented by the itemid,['Observation.code']
microbiologyevents,Microbiology cultures.,subject_id,Unique patient identifier,"['Observation.subject', 'Specimen.subject']"
microbiologyevents,Microbiology cultures.,hadm_id,Identifier for single patient’s admission to the hospital,['Observation.encounter']
microbiologyevents,Microbiology cultures.,micro_specimen_id,Uniquely denoted the specimen from which the microbiology measurement was made,"['Observation.specimen', 'Specimen.identifier']"
microbiologyevents,Microbiology cultures.,test_itemid,Identifier for the test performed on the given specimen,['Observation.code']
microbiologyevents,Microbiology cultures.,test_name,Name of the test performed on the given specimen,['Observation.code']
microbiologyevents,Microbiology cultures.,charttime,Time at which an observation was charted,"['Observation.effective[x]', 'Specimen.collection.collected[x]']"
microbiologyevents,Microbiology cultures.,org_itemid,"Identifier for the organism, if any, which grew when tested (NULL = no  organism)","['Observation.code', 'Observation.hasMember', 'Observation.value[x]']"
microbiologyevents,Microbiology cultures.,org_name,"Name of the organism, if any, which grew when tested (NULL = no  organism)",['Observation.code']
microbiologyevents,Microbiology cultures.,microevent_id,Unique integer denoting the row,"['Observation.identifier', 'Observation.hasMember']"
microbiologyevents,Microbiology cultures.,ab_itemid,Identifier for the antibiotic tested against the given organism for sensitivity,['Observation.code']
microbiologyevents,Microbiology cultures.,ab_name,Name of the antibiotic tested against the given organism for sensitivity,['Observation.code']
microbiologyevents,Microbiology cultures.,storetime,Date and time of when the microbiology result was available,['Observation.effective[x]']
microbiologyevents,Microbiology cultures.,comments,Deidentified free-text comments associated with the microbiology measurement,['Observation.note']
chartevents,chartevents contains all the charted data available for a patient.,subject_id,Unique patient identifier,['Observation.subject']
chartevents,chartevents contains all the charted data available for a patient.,stay_id,Unique identifier to a patient ward stay,['Observation.encounter']
chartevents,chartevents contains all the charted data available for a patient.,charttime,Time at which an observation was made,['Observation.effective[x]']
chartevents,chartevents contains all the charted data available for a patient.,storetime,Time at which an observation was manually input or manually validated by a member of the clinical staff,['Observation.issued']
chartevents,chartevents contains all the charted data available for a patient.,valuenum,Data from value in a numeric format,['Observation.value[x]']
chartevents,chartevents contains all the charted data available for a patient.,valueuom,Unit of measurement for the value,"['Observation.referenceRange.high', 'Observation.value[x]', 'Observation.referenceRange.low']"
chartevents,chartevents contains all the charted data available for a patient.,value,Value measured for the concept identified by the itemid,['Observation.value[x]']
chartevents,chartevents contains all the charted data available for a patient.,lownormalvalue,Lower limit of the normal range for a given physiological measurement,['Observation.referenceRange.low']
chartevents,chartevents contains all the charted data available for a patient.,highnormalvalue,Higher limit of the normal range for a given physiological measurement,['Observation.referenceRange.high']
d_items,Dimension table describing itemid. Defines concepts recorded in the events table in the ICU module.,category,Information of the type of data the itemid corresponds to,['Observation.category']
datetimeevents,Documented information which is in a date format (e.g. date of last dialysis).,subject_id,Unique patient identifier,['Observation.subject']
datetimeevents,Documented information which is in a date format (e.g. date of last dialysis).,stay_id,Unique identifier to a patient ward stay,['Observation.encounter']
datetimeevents,Documented information which is in a date format (e.g. date of last dialysis).,charttime,Time at which an observation was charted,['Observation.effective[x]']
datetimeevents,Documented information which is in a date format (e.g. date of last dialysis).,storetime,Time at which an observation was manually input or manually validated by a member of the clinical staff,['Observation.issued']
datetimeevents,Documented information which is in a date format (e.g. date of last dialysis).,value,Documented date - this is the value that corresponds to the concept referred to by itemid,['Observation.value[x]']
outputevents,"Information regarding patient outputs including urine, drainage, and so on.",subject_id,Unique patient identifier,['Observation.subject']
outputevents,"Information regarding patient outputs including urine, drainage, and so on.",stay_id,Identifier unique to a patient ICU stay,['Observation.encounter']
outputevents,"Information regarding patient outputs including urine, drainage, and so on.",charttime,Time of an output event,['Observation.effective[x]']
outputevents,"Information regarding patient outputs including urine, drainage, and so on.",storetime,Time at which an observation was manually input or manually validated by a member of the clinical staff,['Observation.issued']
outputevents,"Information regarding patient outputs including urine, drainage, and so on.",value,Amount of a substance at the charttime in standard unit,['Observation.value[x]']
outputevents,"Information regarding patient outputs including urine, drainage, and so on.",valueuom,Amount of a substance at the charttime in standardized unit,['Observation.value[x]']
patients,"Patients' gender, age, and date of death if information exists.
Information that is consistent for the lifetime of a patient is stored in this table.",subject_id,Unique patient identifier,['Patient.identifier']
patients,"Patients' gender, age, and date of death if information exists.
Information that is consistent for the lifetime of a patient is stored in this table.",anchor_age,Patient’s age in the anchor_year,['Patient.birthDate']
patients,"Patients' gender, age, and date of death if information exists.
Information that is consistent for the lifetime of a patient is stored in this table.",dod,De-identified date of death for the patient,['Patient.deceased[x]']
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",marital_status,Marital status of the patient,['Patient.maritalStatus']
admissions,"The admissions table gives information regarding a patient’s admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",language,Primary language spoken by the patient,['Patient.communication.language']
procedures_icd,"During routine hospital care, patients are billed by the hospital for procedures they undergo. This table contains a record of all procedures a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies.",subject_id,Unique patient identifier,['Procedure.subject']
procedures_icd,"During routine hospital care, patients are billed by the hospital for procedures they undergo. This table contains a record of all procedures a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies.",hadm_id,Identifier for single patient’s admission to the hospital,['Procedure.encounter']
procedures_icd,"During routine hospital care, patients are billed by the hospital for procedures they undergo. This table contains a record of all procedures a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies.",chartdate,Date of the associated procedures,['Procedure.performed[x]']
procedures_icd,"During routine hospital care, patients are billed by the hospital for procedures they undergo. This table contains a record of all procedures a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies.",icd_code,ICD code for the associated procedure,['Procedure.code']
procedures_icd,"During routine hospital care, patients are billed by the hospital for procedures they undergo. This table contains a record of all procedures a patient was billed for during their hospital stay using the ICD-9 and ICD-10 ontologies.",icd_version,ICD version used for the icd_code,['Procedure.code']
d_icd_procedures,This table defines International Classification of Diseases (ICD) codes for procedures. These codes are assigned at the end of the patient’s stay and are used by the hospital to bill for care provided. They can further be used to identify if certain procedures have been performed (e.g. surgery).,long_title,Title fields provide a brief definition for the given procedure code in ``,['Procedure.code']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",subject_id,Unique patient identifier,['Procedure.subject']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",stay_id,Identifier unique to a patient ICU stay,['Procedure.encounter']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",starttime,Start time of an event,['Procedure.performed[x]']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",endtime,End time of an event,['Procedure.performed[x]']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",location,Information about where on the patient’s body the procedure is taking place,['Procedure.bodySite']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",statusdescription,States the ultimate status of the procedure referred to in the row,['Procedure.status']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",ordercategoryname,Information on the medication order,['Procedure.category']
procedureevents,"Procedures documented during the ICU stay (e.g. ventilation), though not necessarily conducted within the ICU (e.g. x-ray imaging).",itemid,Identifier for a single measurement type in the database,['Procedure.code']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",fluid,Describes the biological fluid or sample type from which a lab test was performed,['Specimen.type']
microbiologyevents,Microbiology cultures.,spec_itemid,Identifier for the specimen that is tested for bacterial growth,['Specimen.type']
microbiologyevents,Microbiology cultures.,spec_type_desc,Description of the specimen that is tested for bacterial growth,['Specimen.type']
